title,col,wdl_url,ins_key,pub_key,dewey_dec_code,type_id,date,item_id
Eastern Side of Mount 'Arafah,col_172,https://www.wdl.org/en/item/11709,ins_1,pub_613,297.915,prph,1889,22065
Western Side of Mount 'Arafah,col_172,https://www.wdl.org/en/item/11710,ins_1,pub_613,297.915,prph,1889,22066
Pilgrims Camp in the Plain East of Mount 'Arafah,col_172,https://www.wdl.org/en/item/11711,ins_1,pub_613,297.915,prph,1889,22067
"The Riding Camel (hajīn) of Sharīf Yaḥya, One of the Sons of Sharīf Aḥmad, Whose Father Was the Famous Great Sharīf Abd èl-Muṭṭalib Who Died in 1886 ... with Saddle Covers (batāt) That Are Richly Embroidered with Silver. The Bridle Is Held by the Slave of Yaḥja; near Whom Yaḥja Himself Is Standing in Rider Outfit, and to the Left Are Two Sharīfs of Lesser Rank in Long Outfits",col_172,https://www.wdl.org/en/item/11712,ins_1,pub_613,297.915,prph,1889,22068
"Two Different Shots of the Arīkah (Throne), on Which a Groom in Mecca Raises and Attends to His Virgin Bride on the First Night of Marriage. In B, the Groom Sits Where the Bride Should be Seated",col_172,https://www.wdl.org/en/item/11713,ins_1,pub_613,392.915,prph,1889,22069
Map of a Part of the Island of Cuba and of the Bahamas,col_4,https://www.wdl.org/en/item/6,ins_1,pub_3,912,mp,1650,5
Map of a Part of the Island of Cuba and of the Bahamas,col_4,https://www.wdl.org/en/item/6,ins_1,pub_3,912,mp,1650,11935
A Modern and Quite Precise Depiction of America (or the Fourth Part of the World),col_8,https://www.wdl.org/en/item/32,ins_1,pub_14,912,mp,1562,30
A Modern and Quite Precise Depiction of America (or the Fourth Part of the World),col_8,https://www.wdl.org/en/item/32,ins_1,pub_14,912,mp,1562,11960
Aesop's Fables,col_8,https://www.wdl.org/en/item/28,ins_1,pub_13,398,bk,1479,26
Aesop's Fables,col_8,https://www.wdl.org/en/item/28,ins_1,pub_13,398,bk,1479,11956
Chronicle of Knights in Armor,col_8,https://www.wdl.org/en/item/46,ins_1,pub_21,093.355,bk,1489-07-14,44
Chronicle of Knights in Armor,col_8,https://www.wdl.org/en/item/46,ins_1,pub_21,093.355,bk,1489-07-14,11974
The Book of Urizen,col_8,https://www.wdl.org/en/item/201,ins_1,pub_80,769.821,bk,1815,194
The Book of Urizen,col_8,https://www.wdl.org/en/item/201,ins_1,pub_80,769.821,bk,1815,12124
"Europe, A Prophecy",col_8,https://www.wdl.org/en/item/2682,ins_1,pub_296,096.940,bk,1794,1632
"Europe, A Prophecy",col_8,https://www.wdl.org/en/item/2682,ins_1,pub_296,096.940,bk,1794,13562
Book of Nature,col_8,https://www.wdl.org/en/item/3158,ins_1,pub_362,503.508,bk,1481-08-20,2049
Book of Nature,col_8,https://www.wdl.org/en/item/3158,ins_1,pub_362,503.508,bk,1481-08-20,13979
"Meditations, or the Contemplations of the Most Devout",col_8,https://www.wdl.org/en/item/11359,ins_1,pub_937,204.242,bk,1479,9787
"Meditations, or the Contemplations of the Most Devout",col_8,https://www.wdl.org/en/item/11359,ins_1,pub_937,204.242,bk,1479,21717
"Epistles, Gospels, and Popular Readings in the Tuscan Language",col_8,https://www.wdl.org/en/item/11360,ins_1,pub_938,225.226,bk,1495-06-27,9788
"Epistles, Gospels, and Popular Readings in the Tuscan Language",col_8,https://www.wdl.org/en/item/11360,ins_1,pub_938,225.226,bk,1495-06-27,21718
Conquest of the Malukus,col_18,https://www.wdl.org/en/item/395,ins_1,pub_129,959,bk,1609,380
Conquest of the Malukus,col_18,https://www.wdl.org/en/item/395,ins_1,pub_129,959,bk,1609,12310
"A Discourse in Commendation of the Valiant as Virtuous Minded Gentleman, Mister Frauncis Drake: With a Rejoicing of his Happy Adventures",col_18,https://www.wdl.org/en/item/623,ins_1,pub_164,920.942,bk,1581,595
"A Discourse in Commendation of the Valiant as Virtuous Minded Gentleman, Mister Frauncis Drake: With a Rejoicing of his Happy Adventures",col_18,https://www.wdl.org/en/item/623,ins_1,pub_164,920.942,bk,1581,12525
The Ash Wednesday Supper,col_13,https://www.wdl.org/en/item/10006,ins_90,pub_164,130.523,bk,1584,8459
The Ash Wednesday Supper,col_13,https://www.wdl.org/en/item/10006,ins_90,pub_164,130.523,bk,1584,20389
"The World Encompassed by Sir Francis Drake, Being His Next Voyage to That to Nombre de Dios Formerly Imprinted: Carefully Collected out of the Notes of Master Francis Fletcher, Preacher in This Imployment",col_18,https://www.wdl.org/en/item/624,ins_1,pub_165,910,bk,1628,596
"The World Encompassed by Sir Francis Drake, Being His Next Voyage to That to Nombre de Dios Formerly Imprinted: Carefully Collected out of the Notes of Master Francis Fletcher, Preacher in This Imployment",col_18,https://www.wdl.org/en/item/624,ins_1,pub_165,910,bk,1628,12526
"Map of Liberia, West Africa",col_38,https://www.wdl.org/en/item/446,ins_1,pub_137,912,mp,1830,427
"Map of Liberia, West Africa",col_38,https://www.wdl.org/en/item/446,ins_1,pub_137,912,mp,1830,12357
"A Journal of Captain Cook''s Last Voyage to the Pacific Ocean, and in Quest of a North-West Passage Between Asia & America, Performed in the Years 1776, 1777, 1778, and 1779",col_6,https://www.wdl.org/en/item/23,ins_1,pub_10,910,bk,1783,21
"A Journal of Captain Cook''s Last Voyage to the Pacific Ocean, and in Quest of a North-West Passage Between Asia & America, Performed in the Years 1776, 1777, 1778, and 1779",col_6,https://www.wdl.org/en/item/23,ins_1,pub_10,910,bk,1783,11951
"Defense of the Settlers of Saint Dominique: Or, a Quick Look at the New Declaration of the Rights of Man, Particularly as it Relates to the Colonies",col_6,https://www.wdl.org/en/item/380,ins_1,pub_126,320.972,bk,1796,365
"Defense of the Settlers of Saint Dominique: Or, a Quick Look at the New Declaration of the Rights of Man, Particularly as it Relates to the Colonies",col_6,https://www.wdl.org/en/item/380,ins_1,pub_126,320.972,bk,1796,12295
"History of the Expedition Under the Command of Captains Lewis and Clark: To the Sources of the Missouri, thence Across the Rocky Mountains and down the River Columbia to the Pacific Ocean",col_15,https://www.wdl.org/en/item/107,ins_1,pub_48,917,bk,1814,102
"History of the Expedition Under the Command of Captains Lewis and Clark: To the Sources of the Missouri, thence Across the Rocky Mountains and down the River Columbia to the Pacific Ocean",col_15,https://www.wdl.org/en/item/107,ins_1,pub_48,917,bk,1814,12032
"A Summary View of the Rights of British America: Set Forth in Some Resolutions Intended for the Inspection of the Present Delegates of the People of Virginia, Now in Convention / by a Native, and Member of the House of Burgesses",col_15,https://www.wdl.org/en/item/117,ins_1,pub_51,323.973,bk,1774,112
"A Summary View of the Rights of British America: Set Forth in Some Resolutions Intended for the Inspection of the Present Delegates of the People of Virginia, Now in Convention / by a Native, and Member of the House of Burgesses",col_15,https://www.wdl.org/en/item/117,ins_1,pub_51,323.973,bk,1774,12042
"An Account of a Voyage up the River de la Plata, and Thence over Land to Peru: With Observations on the Inhabitants, as Well as Indians and Spaniards, the Cities, Commerce, Fertility, and Riches of That Part of America",col_17,https://www.wdl.org/en/item/235,ins_1,pub_88,918,bk,1698,228
"An Account of a Voyage up the River de la Plata, and Thence over Land to Peru: With Observations on the Inhabitants, as Well as Indians and Spaniards, the Cities, Commerce, Fertility, and Riches of That Part of America",col_17,https://www.wdl.org/en/item/235,ins_1,pub_88,918,bk,1698,12158
The History of the Caribby-Islands,col_17,https://www.wdl.org/en/item/252,ins_1,pub_94,972,bk,1666,245
The History of the Caribby-Islands,col_17,https://www.wdl.org/en/item/252,ins_1,pub_94,972,bk,1666,12175
"An Historical Survey of the French Colony in the Island of St. Domingo: Comprehending a Short Account of Its Ancient Government, Political State, Population, Productions, and Exports",col_17,https://www.wdl.org/en/item/340,ins_1,pub_113,972,bk,1797,327
"An Historical Survey of the French Colony in the Island of St. Domingo: Comprehending a Short Account of Its Ancient Government, Political State, Population, Productions, and Exports",col_17,https://www.wdl.org/en/item/340,ins_1,pub_113,972,bk,1797,12257
