pub_key,Publisher
pub_303,Department of State
pub_304,United States House of Representatives. Committee on Woman Suffrage.
pub_305,"Department of Agriculture, Bureau of Agricultural Economics"
pub_306,"Department of Commerce and Labor, Children's Bureau"
pub_307,"Office for Emergency Management, Office of War Information, Overseas Operations Branch"
pub_308,"Office for Emergency Management, Office of War Information, Domestic Operations Branch"
pub_309,Yang Dao
pub_310,"United States Information Agency, Press and Publications Service"
pub_311,Environmental Protection Agency
pub_312,West & Johnston
pub_313,Barbados Tourist Board
pub_314,National Film Board
pub_315,Guyana Information Service
pub_316,Trinidad and Tobago Tourist Board
pub_317,Joes van Doesborgh
pub_318,Claude de Monstr’oeil
pub_319,Fridericum Peypus
pub_320,Stephen Daye
pub_321,Henrico Martinez
pub_322,Chieh-tsu-yuan
pub_323,ChiGang Brotherhood Association
pub_324,Sheng Fan Wu
pub_325,"Carey, Lea, and Blanchard"
pub_326,Franciscus Halma
pub_327,Hubertum Iaillot
pub_328,Sumptibus Henrici Hondii
pub_329,Officina Plantiniana
pub_330,Jacobus Lucius
pub_331,Nicolo Todescho
pub_332,Lucas Brandis de Schass
pub_333,Woodbury & Page
pub_334,R. Sayer
pub_335,"Greive Jr, J.C."
pub_336,Mieling
pub_337,"Maurepas, Jean-Frédéric Phélypeaux, comte de,"
pub_338,Lauffer und Stolp
pub_339,Eggenberger Ferdinánd
pub_340,Hon-doiya
pub_341,Yamazaki Heihachi
pub_342,Rowlandson
pub_343,Zhao Liangfu
pub_344,Erhard Ratdolt
pub_345,Melchior Sessa for Jacob Pentius Leucensis
pub_346,"Bonetus Locatellus, for Octavianus Scotus"
pub_347,Printing Press of King Frederick II
pub_348,Holy Dormition Lavra
pub_349,Henri Lioret
pub_350,Tianning Temple
pub_351,"Zhu Di (Chengzu, the Yongle Emperor)"
pub_352,"Emperor Gaozong of the Qing dynasty, Aisin-Gioro Hongli"
pub_353,Etienne Vouillemont
pub_354,Charles Bayle
pub_355,Printed for the Oriental translation committee
pub_356,"Printed by Claude Davost alias de Troys, for Bartholomeus Trot"
pub_357,Antoine Lafréry
pub_358,Royal Swedish Academy of Sciences
pub_359,Wu Zetian
pub_360,Dangtu Commandery Studio
pub_361,Louis Elzevir
pub_362,Johann Bämler
pub_363,Johannes Petrejus
pub_364,"Caxton Publishing Company, Limited"
pub_365,British Embassy
pub_366,J. Marshall
pub_367,C. Randall
pub_368,J. Morren
pub_369,G. Caldwell
pub_370,W. Macnie
pub_371,J. M'Nairn
pub_372,W. Davison
pub_373,Air: J. & P. Wilson
pub_374,R. Taylor
pub_375,R. Hutchison
pub_376,G. Miller
pub_377,E. Johnstone
pub_378,J. McNairn
pub_379,T. Johnston
pub_380,J. & J. Neil
pub_381,M. Randall
pub_382,J. Neil
pub_383,"Niven, Napier and Khull"
pub_384,Jean-Baptiste Nolin
pub_385,R-Printer (Adolf Rusch)
pub_386,Osky’s Curio Shop
pub_387,Record Co.
pub_388,T. McLean
pub_389,Francesco Cavallo
pub_390,Harman Lanfon
pub_391,Chez Emanuel Colin de Thovoyon
pub_392,Giuseppe Galeazzi
pub_393,Blaeu
pub_394,E. Thunot
pub_395,Church Missionary Society
pub_396,William Bradford and J. Peter Zenger
pub_397,Pieter Sanders
pub_398,Otto Barentlz
pub_399,Jaer
pub_400,Jan Banning
pub_401,Marten Iansz Brant
pub_402,Cornelis Claesz
pub_403,Hillebrant Jacobsz van Wouw
pub_404,Evert Nieuwenhof
pub_405,A. Damianova
pub_406,Speyer
pub_407,Anton Koberger for Sebald Schreyer and Sebastian Kammermeister
pub_408,Kniazhestvo-srŭbska (Pravitelstvena) knigopechatnia
pub_409,Kniazhesko-serbska
pub_410,Kralevska universitetska
pub_411,Zakhariia Karkaleki
pub_412,Knigopechatnitsa (tipografiia) na Ĭosifa Kopaĭniga
pub_413,Pechatnitsa na Fermen Dido
pub_414,Kniazhesko-srŭbska (Pravitelstvena) knigopechatnia
pub_415,Sv. Mitropoliia
pub_416,I.K. Sopronova
pub_417,Imperatorskoĭ akademii nauk
pub_418,Knigopechatniata na d-ra Danila Medakovicha
pub_419,Pechatnitsa (shtamparnitsa) na Dim. Panichkov
pub_420,Pechatnitsa na A. Iakicha
pub_421,Pechatnitsa na Makedoniia
pub_422,Royal Hospital
pub_423,Kim Jeongho
pub_424,Thomas Baglionus
pub_425,Ferdinand IV ann. IX
pub_426,Conrad Sweynheym and Arnold Pannartz
pub_427,Regia Stamperia
pub_428,Giacomo Mascardi
pub_429,Francesco Baba
pub_430,Photoglob Company
pub_431,Bartlett & Welford
pub_432,Adriaan Vlacq
pub_433,De L'imprimerie impériale
pub_434,Levinus Hulsius
pub_435,Barthélemy Vincent
pub_436,Ignaz Alberti's Wittwe
pub_437,François Nicolas Martinet
pub_438,Ishwar Das
pub_439,Stephanus Creuzer
pub_440,Paul Grasnik
pub_441,Zhao Kehuai
pub_442,Zongwen Shuyuan
pub_443,William Daniell
pub_444,John A. Blair
pub_445,Greening & Company
