Creator,creator_id
"Turner, W. J. (William John)",242
"Hondius, Jodocus, 1563-1612",243
"Ptolemy, 2nd century",244
United States,245
"Second Continental Congress, United States",246
"Greenhow, Rose O'Neal, 1817-1864",247
United States. Constitutional Convention,248
"Department of the Treasury. Office of the Secretary of the Treasury, United States",249
"War Production Co-ordinating Committee, United States",250
"District Court for the District of Vermont, United States",251
"District Court for the Trenton Division of the District of New Jersey, United States",252
"Ricardo, Antonio, 1540?-1606",253
"Slaveĭkov, Petko Rachev, 1827-1895",254
"Jaillot, Alexis-Hubert, approximately 1632-1712",255
Abraham ben Jacob (17th century),256
"Jansson, Jan, 1588-1664",257
"Adrichem, Christiaan van, 1533-1585",258
"Bünting, Heinrich, 1545-1606",259
"Aa, Pieter van der, 1659-1733",260
"Child, G.",261
"Weigel, Christoph, 1654-1725",262
"Leon, Juan Vázquez de",263
"Paul III, Pope, 1468-1549",264
"Rivera, Miguel",265
Muhammad bin Hindušah al-Munši,266
"Al-Hanafi, Abu'l Baqaa al-Husseini al-Kafawi, around 1618-1682",267
"el-Akkirmānī, Muhammad, 17th to 19th century",268
"Ṣaghānī, al-Ḥasan ibn Muḥammad, 1181-1252",269
"Jefferson, Thomas, 1743-1826",270
"Dahlberg, Erik, 1625-1703",271
"Magnus, Olaus, 1490-1557",272
"Linné, Carl von, 1707-1778",273
"Gethe, Carl Johan, 1728-1765",274
"Schantz, Carl Fredrik von, 1727-1792",275
"Al-Ḥamīdī, ʻAbd al-Raḥmān ibni Aḥmad ibni ʻAlī",276
"Oliva, Juan, flourished 1580-1615",277
"Crick, Francis, 1916-2004",278
"South Australian Company, 1835-1949",279
United States Congress,280
"Florida Convention of the People, 1860-1861",281
Osky's,282
Florida. Bureau of Health,283
"Fanshawe, Lady Ann, 1625-1680",284
"Le Maire, Jacob, 1585-1616|Schouten, Willem Corneliszoon, 1567?-1625",285
"Pigafetta, Antonio, 1480?-1534?",286
States-General,287
"Gutenberg, Johann, 1397?-1468",288
"Schedel, Hartmann, 1440-1514",289
"Kŭrpachev, En'o Khristov, 1833-1916",290
"Ricci, Matteo, 1552-1610",291
Bella of Merwanha|Shelomò of Carcassona,292
"Guiducci, Mario, 1584-1646",293
"Finé, Oronce, 1494-1555",294
"Gribanov, K. M.",295
"Johnson, Riddle and Company",296
American Committee for Relief in the Near East,297
National Americanization Committee,298
Great Britain. Parliamentary Recruiting Committee,299
New Hampshire. Committee on Public Safety,300
"Guan, Lu, 208-255",301
"Zhu, Xiling",302
"Leardo, Giovanni, flourished 1440",303
Wetallok,304
"Frémont, John Charles, 1813-1890",305
United States. Hydrographic Office,306
New York (N.Y.). Bureau of Civil and Topographical Engineering,307
Muhammad ibn Pir Ahmad al-Shahir bi-Ibn Arghun al-Shirazi,308
"Schuyler, Eugene, 1840-1890",309
Japan. Monbushō,310
Kenpō Fukyūkai,311
Nihon Daigaku,312
Federation of Immigration Associations,313
Japanese Settlement Company of South America,314
"Kaktiņa, Matilde, 1882–1956",315
"Kraukle, Rasma, 1927–2008",316
"Trumekalne, Elza, born 1938",317
"Eglīte, Gaida, 1927–2008",318
"Kalevics, Kārlis Roberts, 1877–1945",319
"Mežaks, Voldemārs, 1914–1985",320
"Kirķis, Ernests, 1913-?",321
"Gaidiene, Grazhina, 1911–1989",322
"Vadziņa-Vāciete, Lizete Lūcija, 1920–2002",323
"Pelēcis, Aleksandrs, 1920–1995",324
"Grünenberg, Konrad, 1442-1494",325
"Pfister, Albrecht, circa 1420-circa 1470",326
"Chicago Daily News, Inc.",327
France. Army. Regiment of Colonial Artillery,328
"Smith, J. Calvin (John Calvin)",329
"Hildt, George H.|McGowan, D.",330
"Melish, John, 1771-1822",331
"Willcox, William H.",332
"Finley, Anthony, circa 1790-1840",333
"Mason, Charles, 1728-1786",334
"Montrésor, John, 1736-1799",335
Chegeree,336
Indian nobles and towns of the Marquesado del Valle,337
China. Embassy (Germany),338
"Xiong, Mingyu, active 17th century",339
"Endasian, Elia",340
"Moses, Mardenus|Widmanstetter, Johann Albrecht, 1506?-1557",341
"Inō, Tadataka, 1745-1818",342
"Sagano, Hikotarō",343
"Kikuya, Kōzaburō",344
Ichiryūtei Shoraku Dōjin,345
Uganda Society,346
Uganda Literary and Scientific Society,347
"Ulloa, Antonio de, 1716-1795",348
"Sahagún, Bernardino de, 1499-1590",349
"Ghannam, Razzuq Dawood",350
"Ventura, Niccolò di Giovanni di Francesco, died 1464",351
Sebastian Wagon Works,352
Strobridge Lithography Company,353
White Star Line,354
"Walker, Henry, died 1616?",355
England and Wales. Court of Common Pleas,356
"Rizzi-Zannoni, Giovanni-Antonio 1736-1814",357
"Tarasevych, Oleksandr, approximately 1640-1727",358
Maya Society,359
Buenos Aires and Pacific Railway Company,360
Chamber of Commerce of the United States of America. Transportation and Communication Department,361
London Geographical Institute,362
Great Britain. Ordnance Survey,363
United States. Department of the Army. General Staff. Military Intelligence Division,364
"Schomburgk, Robert H. (Robert Hermann), Sir, 1804-1865",365
"Bouchenroeder, Friedrich von, flourished circa 1795",366
"Tirion, Isaak, circa 1705-circa 1769",367
Rand McNally and Company,368
National Highways Association,369
China,370
League of Nations. Organisation for Communications and Transit,371
United States. Army Map Service,372
"Tanner, Henry Schenck, 1786-1858",373
"Cawston, George|Edward Stanford Ltd.",374
"Freytag, Gustav, 1852-1938",375
"Bradford, T. G. (Thomas Gamaliel), 1802-1887",376
Plantijnse Drukkerij,377
Germany. Heer. Generalstab. Abt. Fremde Heere Ost,378
Great Britain. War Office. General Staff. Geographical Section,379
"Kiepert, Heinrich, 1818-1899",380
"Delamarche, Félix",381
"Weller, Edward, died 1884",382
"Homann, Johann Baptist, 1663-1724",383
Aeronautical Chart and Information Center (U.S.),384
Austro-Hungarian Monarchy. Militärgeographisches Institut,385
"Lapie, M. (Pierre), 1779-1850",386
"Cantelli da Vignola, Giacomo, 1643-1695",387
"Reilly, Franz Johann Joseph von, 1766-1820",388
"Dufour, A.H. (Auguste Henri), 1798-1865",389
Homann Erben (Firm),390
"Emi, Nagatoshi",391
"Takahashi, Kageyasu, 1785-1829",392
"Brichieri Colombi, Giovanni Domenico, 1716-1787",393
Ciniselli Circus,394
"Anville, Jean-Baptiste Bourguignon d', 1697-1782",395
"Dunn, Samuel, died 1794",396
"Subotin, Alexander",397
"Weiland, C. F. (Carl Ferdinand), 1782-1847",398
United States. Army. Office of the Chief of Engineers,399
"Jackson, P., Captain|Wyndham, W.",400
Japan. Imperial Land Survey,401
"Payne, W. H.",402
Afghan Boundary Commission,403
Masters of the Delft Grisailles,404
Afghānistān,405
Germany. Army. General Staff,406
Provisional International Civil Aviation Organization,407
United States. Central Intelligence Agency. Map Branch,408
Egypt. Survey of Egypt,409
Germany. Foreign Office. Geographical Service,410
Germany. Air Force. Operations Staff. Reconnaissance and Defense,411
"Trotta, E.",412
"Robert de Vaugondy, Gilles, 1688-1766",413
American Geographical Society of New York,414
Academy of Sciences of Afghanistan|Kabul Literary Society,415
Academy of Sciences of Afghanistan|Autonomous Directorate of Publications|The Pushto Society,416
Academy of Sciences of Afghanistan|The Pushto Society,417
White Pass & Yukon Route (Firm),418
"Petroff, Ivan, born 1842",419
D. O. Haynes & Company,420
"Wyld, James, 1812-1887",421
Alaska Steamship Company,422
"Boyd, E. D.",423
United States. Office of Indian Affairs,424
United States. Topographical Bureau,425
"Pan, Shidan",426
"Gu, Congyi, 1523-1588",427
"Chen, Jieqi, 1813-1884",428
"Utagawa, Toyokuni, 1786-1865",429
"Kitagawa, Utamaro, 1753?-1806",430
"Shunkōsai, Hokushū, flourished 1810-1850",431
"Utagawa, Kuniyoshi, 1798-1861",432
