Publisher,pub_key
Jujintang,pub_826
Guangqitang,pub_827
Youyizhai,pub_828
Lu Jian,pub_829
Xiong Zhixue,pub_830
Xue Sancai,pub_831
Zhang Yuanji,pub_832
He Chao,pub_833
Monastery of San Lazzaro,pub_834
Paolo Bonacota,pub_835
Titi & Pauli de Dianis,pub_836
Monastery of Saint Antony,pub_837
Michael Zimmermann,pub_838
Typographia Medicea,pub_839
Johann Schwan,pub_840
Melchior Lotter d.J.,pub_841
Johann Fust,pub_842
Johannes Oporinus,pub_843
Bartholomaei Bonfadini,pub_844
Monastery of St. Ulrich and Afra (?),pub_845
H. Eggestein,pub_846
Brothers of the Common Life at Te Nazareth Gheprint,pub_847
Keikikaku,pub_848
Dar as-Salam Publishing,pub_849
Printed at the War Office,pub_850
Hodder and Stoughton,pub_851
Student Christian Movement,pub_852
"Longmans, Green & Company",pub_853
Hutchinson & Company,pub_854
Hutchinson & Co.,pub_855
Francis Griffiths,pub_856
Uganda Society,pub_857
Uganda Literary and Scientific Society,pub_858
Nicomedes Lora,pub_859
Printing House of Printing School,pub_860
Kiev Commission of Popular Readings,pub_861
Y. P. Fishgang Printing House,pub_862
Sementovskii Printing House,pub_863
S.V. Kul'zhenko,pub_864
М.А. Alexandrov Printing House,pub_865
Kiev Pechersk Lavra Press,pub_866
Governor’s Office,pub_867
I. Schetinkin and E. Martynov,pub_868
Publishing House of E. Cherepovskii,pub_869
N. I. Butkovskaya,pub_870
Union for the Liberation of Ukraine,pub_871
Pyotr Barskii,pub_872
Southwestern Branch of the Imperial Russian Geographic Society,pub_873
N. T. Korchak–Novitskii,pub_874
Public Interests Printing House,pub_875
A. I. Grosman,pub_876
Volosozhar,pub_877
I. Knebel,pub_878
Al-Dunkajiyya Press,pub_879
Augustinian Monastery of San Salvatore,pub_880
Academy of Arts and Society of Calligraphers,pub_881
Cultural Heritage Organization,pub_882
Mohammad-Ali Ashtyani,pub_883
Antonio Cruzado,pub_884
Juan Baptista de Montoya,pub_885
Antonio de Salamanca and Antonio Lafrery,pub_886
Jean Laet,pub_887
Juan Bautista Gargano and Lucrecio Nucci,pub_888
Ignacio Boix,pub_889
Arnao Guillén de Brocar,pub_890
F. de P. Mellado,pub_891
G. T. Korchak-Novitskii Printing House,pub_892
Konstantin Zhernakov Printing House,pub_893
Monastery of Saint Ioakim Osogovski-Sarandapor,pub_894
I︠A︡kov Kraĭkov,pub_895
Giambatista Albrizzi,pub_896
Arnold Buckinck,pub_897
Jean Aubry and Claude de Marne,pub_898
Heinrich Petri,pub_899
Luca-Antonio Giunta,pub_900
Ottaviano Scoto,pub_901
Benoît Bonyn,pub_902
Johann Grüninger,pub_903
H. Hall,pub_904
Vincenzo Valgrisi and Baldassare Costantini,pub_905
Johann Schott,pub_906
Cornelius of Zyrickzee,pub_907
Matteo Cancer,pub_908
Guillaume Huyon,pub_909
Johannes Janssonius van Waesberge and Vidua Elizei Weyerstraet,pub_910
Giovanni Monte and Ulrich Neuber,pub_911
Valentinus Curio,pub_912
White Star Line,pub_913
Belarusian Society of Bibliophiles,pub_914
A. Dvorzhets Printing House,pub_915
Russian Imperial Academy of Science,pub_916
Radzivill Printing House,pub_917
Publishing House of Hakob Meghapart,pub_918
Malik al-Kitāb,pub_919
Maṭbaʻ-i Muṣṭafāʼī-i Muḥammad Khān Muṣṭafá,pub_920
Dar Maṭbaʻ-i Dār al-Salṭanah-i Kābul,pub_921
Maṭbaʻ-i Dār al-Salṭanah-ʼi Kābul,pub_922
Bā bayārī-i Maṭbaʻ-i Sarkārī-i shahr-i Kābul-i gulgul bishkuft,pub_923
National Printing Office,pub_924
Waterlow and Sons,pub_925
McCorquodale and Company,pub_926
William M. Bradley and Company,pub_927
Eckert Lithographing Company,pub_928
G.W. and C.B. Colton and Company,pub_929
International Bureau of the American Republics,pub_930
United States. Adjutant-General's Office. Military Information Division,pub_931
George Philip & Son Limited,pub_932
Ordnance Survey Office,pub_933
"Engineer Reproduction Plant, U.S. Army",pub_934
Covens and Mortier,pub_935
Oxford University Press,pub_936
Johann Neumeister,pub_937
"Lorenzo Morgiani and Johannes Petri, for Piero Pacini da Pescia",pub_938
Fowler & Kelly,pub_939
Shiguange,pub_940
Sun You,pub_941
Rongyutang,pub_942
Dachengzhai,pub_943
Shuyetang,pub_944
Imperial Medical College,pub_945
Shangbaizhai,pub_946
Gulin Shutang,pub_947
Langxuanguan,pub_948
Ding Gongchen,pub_949
Yuan Jie,pub_950
Qixiutang,pub_951
"Lu Xiangpu, Sanjian Caotang",pub_952
Jiguge,pub_953
Pingbo,pub_954
Tingyitang,pub_955
National Highways Association,pub_956
German Peace Society,pub_957
Office of European Nationality,pub_958
Federated Malay States Government Printing Office,pub_959
Headley Brothers,pub_960
Naval Kishore Publishing House,pub_961
P.A. Huldberg,pub_962
A. Börtzells,pub_963
"Army Map Service, Corps of Engineers",pub_964
Freytag & Berndt,pub_965
William D. Ticknor,pub_966
Enrico Voghera,pub_967
Heer,pub_968
War Office,pub_969
Johann Baptist Homann,pub_970
C. Ohmann,pub_971
M. Lapie,pub_972
Johnson and Ward,pub_973
"Thomas, Cowperthwait & Company",pub_974
C. Picquet,pub_975
G.P. Putnam's Sons,pub_976
Fleming H. Revell Company,pub_977
P. Force,pub_978
T. Wardle,pub_979
Mason Brothers,pub_980
W. N. Hartshorn,pub_981
F. A. Stokes,pub_982
Muṣṭafawī Printing Press,pub_983
Fayḍ Muḥammadī Press,pub_984
Dār al-Salṭanah,pub_985
Trübner & Company,pub_986
"Sampson Low, Marston, Searle, and Rivington",pub_987
Griffith and Farran,pub_988
"Longman, Hurst, Rees, Orme, Brown, and Green",pub_989
R. J. Mitchell and Sons,pub_990
William H. Allen and Company,pub_991
Maṭbaʻ-i Jahanʹnamā,pub_992
M. Parpura,pub_993
Giovanni Giacomo de Rossi,pub_994
Pieter van der Aa,pub_995
Institut Geographique de Paris,pub_996
Gustava Barba,pub_997
Sagamiya Tahei,pub_998
Yao Yasutoyo (et al.),pub_999
Doyu koji,pub_1000
Asaino families,pub_1001
Urokogataya Sanzaemon,pub_1002
Nishimuraya Yohachi,pub_1003
Funaki Kasuke (et al.),pub_1004
Hayashi Jizaemon,pub_1005
Royal Printing Press of Kabul,pub_1006
Muṣṭafāʼī Publishing House,pub_1007
Maṭbaʻ-i Dīmūrūf,pub_1008
Royal Publishing House of Kabul,pub_1009
Matb-e Gulzar Husaini,pub_1010
Matb-e Brejis,pub_1011
Maṭbaʻ-i Dār al-Salṭanah-i Kābul,pub_1012
Andreola,pub_1013
Da’ud Sliwa,pub_1014
Bernardino dei Vitali,pub_1015
Al-Arab Printing House,pub_1016
Royal Serbian Publishing House,pub_1017
City Typographers,pub_1018
Book Publishing House of Constantinople Herald,pub_1019
Royal Serbian Typographers,pub_1020
Printing House of K.N. Radulesku,pub_1021
Typographers of Tadei Divichian,pub_1022
Tongsheng Photo Studio (Firm),pub_1023
W.H. Allen and Company,pub_1024
Blackie & Son,pub_1025
John Cary,pub_1026
Bellin,pub_1027
Bibliographisches Institut Leipzig,pub_1028
James Wyld,pub_1029
Didot,pub_1030
G. A. Kuklin,pub_1031
Synod Press,pub_1032
Government Press,pub_1033
Partnership of Typesetters. A. A. Levenson,pub_1034
P. P. Soikin Printing House,pub_1035
Land survey drawing company,pub_1036
Al-Maṭba‘a al-Adabīya,pub_1037
Université Saint-Joseph,pub_1038
Muhandis-khāna Press,pub_1039
Al-Hamīdiyyah Press,pub_1040
Americans’ Printing House,pub_1041
al-Jawa’ib Press,pub_1042
Catholic Press,pub_1043
Al-Adab Press,pub_1044
Amiriyah Press,pub_1045
Muqtataf Press,pub_1046
Muḥammad Musṭafā Press,pub_1047
Dar al-Hilal Printing House,pub_1048
Bulaq Press,pub_1049
Al-Adabiyah Press,pub_1050
al-‘Umumiyah Press,pub_1051
Al-Khayriyah Press,pub_1052
al-Ma'arif Press,pub_1053
American Press,pub_1054
Maṭbaʻat al-Hilāl,pub_1055
Maṭbaʻat al-Shaʻb,pub_1056
Matbaʻat al-Abāʼ al-Yasuʻīyyīn,pub_1057
al-Ahliyah Press,pub_1058
Al-Taraqqi Press,pub_1059
al-Sa’adah Press,pub_1060
al-Masbah Press,pub_1061
al-Mimniyah Press,pub_1062
al-Hilāl,pub_1063
Al-Sharafīya Publishing House,pub_1064
Maṭbaʻat al-Maḥmūdīya Publishing House,pub_1065
Al-Sufūr Printing House,pub_1066
Maṭbaʻat al-khayrīyah,pub_1067
Maṭbaʻat al-qāhira al-ḥurra,pub_1068
Jarīdat Bayrut Press,pub_1069
al-Maktabah al-Tijariyah al-Kubra Press,pub_1070
Al-Hilal Press,pub_1071
Nile Press,pub_1072
Dar al-Kutub al-‘Arabiyah al-Kubra Press,pub_1073
ʻĀmarah Press,pub_1074
al-Maṭbaʻah al-Kubrá al-Amīrīyah,pub_1075
Jamāliyah Press,pub_1076
Al-Bahā’ Press,pub_1077
Salafiyah Press,pub_1078
Firmin-Didot,pub_1079
Geographisches Institut,pub_1080
Office of the Chief of Engineers,pub_1081
Jackson & Wyndham,pub_1082
"Letts, Son & Company",pub_1083
Dār al-Ṭabaʻāt-i Āstānah-i Muqaddasah,pub_1084
Matbh-e Fakhri,pub_1085
Matbh-e Islamiya,pub_1086
Sarkāṛī Printing Press,pub_1087
Shams Al-Nahār Press,pub_1088
German Publishing House,pub_1089
D'Anville,pub_1090
Survey of Egypt,pub_1091
Reich Office,pub_1092
Ufficio Nautico Marconi,pub_1093
Robert de Vaugondy,pub_1094
Matba-e Hurufi Dar al-Saltana-e,pub_1095
Matba-e Ghulam Hasan,pub_1096
Afghanistan Academy of Sciences and Center for Language and Literature,pub_1097
Autonomous Directorate of Publications,pub_1098
"Parry, Blenkarn and Company",pub_1099
Richard Bentley and Son,pub_1100
"Chapman and Hall, Limited",pub_1101
"Longmans, Green, and Company",pub_1102
Behari Lal,pub_1103
Britton and Rey,pub_1104
Poole Brothers,pub_1105
Marsh and Grant,pub_1106
Julius Bien and Company Lithography,pub_1107
David O. Haynes,pub_1108
Farwest Lithograph and Printing,pub_1109
E. Weber,pub_1110
Geological Survey (United States),pub_1111
Junzhai Gushu,pub_1112
Guweitang,pub_1113
Guangqin Shutang,pub_1114
Tea-Salt Commission of the Eastern Zhejiang Jurisdiction,pub_1115
"Transport Division, Jiangxi Circuit",pub_1116
Rixintang of Gao Family,pub_1117
"Lanxuetang, Huajian, Xishan",pub_1118
Na Chieftainship of the Yi people,pub_1119
Wu Weizhong,pub_1120
Li Yu,pub_1121
Yu Family School,pub_1122
Cuiwen Shuwu,pub_1123
"Mao Jin, Jiguge",pub_1124
Lin'an Prefecture,pub_1125
"Chen Renzi, Dongshan Shuyuan",pub_1126
Zhang Dingsi,pub_1127
Ministry of Information and Culture and Union of the Writers of the Democratic Republic of Afghanistan,pub_1128
Publisher,pub_1129
