Publisher,pub_key
Press of the Universities' Mission to Central Africa,pub_666
EUY,pub_667
J. T. Bowen,pub_668
J.T. Bowen,pub_669
Lithography of Wild & Chevalier,pub_670
R. Wittig,pub_671
Lee & Walker,pub_672
G. André & Company,pub_673
"Edward L. Walker, William Hall & Son, George Oates, G.P. Reed & Company",pub_674
L. Meignen & Company,pub_675
Kennedy & Lucas's Lithography,pub_676
L.A. Godey & Company,pub_677
Childs or Childs & Inman,pub_678
C. G. Childs,pub_679
"Pendleton, Kearny & Childs",pub_680
Childs & Inman's Press,pub_681
Childs & Inman's Lithography,pub_682
Childs & Inman,pub_683
Childs & Inman Press,pub_684
R.H. Hobson,pub_685
M.E.D. Brown,pub_686
Childs & Inman Lithographers,pub_687
C.G. Childs & G. Lehman,pub_688
Lehman & Duval,pub_689
Lehman & Duval Lithography,pub_690
Lehman & Duval Lithographers,pub_691
P.S. Duval Lithography,pub_692
Sinclair Lithography,pub_693
F. Kuhl Lithography,pub_694
"Lithography of Pinkerton, Wagner & McGuigan",pub_695
Printed by F. Kuhl,pub_696
Artillery Corps of Philadelphia Greys,pub_697
Printed by Wagner & McGuigan,pub_698
Wagner & McGuigan's Lithography,pub_699
Lithography of Thomas Sinclair,pub_700
Sinclair's Lithography,pub_701
Evans,pub_702
P.S. Duval,pub_703
"Pinkerton, Wagner & McGuigan Lithography",pub_704
Lithography of Wagner & McGuigan,pub_705
Wagner & McGuigan,pub_706
W.H. Rease,pub_707
T. Sinclair's Lithography,pub_708
W. Stott's Lithography,pub_709
Lithography of T. Sinclair,pub_710
Wagner & McGuigan?,pub_711
Bryson & Cooper,pub_712
Lithography of F. Kuhl,pub_713
J. Childs,pub_714
J.C. Sidney,pub_715
Printed by T. Sinclair,pub_716
Lithography of Wagner & M'Guigan,pub_717
Printed by P. S. Duval,pub_718
Printed by P.S. Duval,pub_719
John N. Henderson,pub_720
Wagner & McGuigan Lithography,pub_721
A. Kollner's Lithography,pub_722
P.S. Duval & Company Lithography,pub_723
"William Spink, William Kneass & Philip R. Engard",pub_724
Thomas Sinclair,pub_725
Published by J.T. Bowen,pub_726
Printed by P. S. Duval Lithography,pub_727
A.D. Caldwell,pub_728
Thomas Sinclair's Lithography,pub_729
Brett's Lithography Press,pub_730
Job T. Williams,pub_731
Boell & Magee,pub_732
Printed by P.S. Duval & Son,pub_733
P.S. Duval & Son,pub_734
Chromolithography of M. H. Traubel,pub_735
Bowen & Company Lithography,pub_736
L.N. Rosenthal,pub_737
J.G. Simpson,pub_738
Printed by Herline & Company,pub_739
"Schnabel, Finkeldey & Demme's Lithography Institute",pub_740
L.N. Rosenthal Lithography,pub_741
George G. Heiss,pub_742
Lithography of A. Kollner,pub_743
Lithography of P.S. Duval & Company,pub_744
P. S. Duval & Company Lithography,pub_745
Stayman & Brother,pub_746
"P.S. Duval, Lithographer",pub_747
A. Kollners Lithography,pub_748
P.S. Duval & Son's Lithography,pub_749
Printed by Traubel & Company,pub_750
"L.N. Rosenthal, Lithographer",pub_751
P.S. Duval & Son Lithography,pub_752
A. Pharazin,pub_753
Herline & Company Lithography,pub_754
J.L. Magee and A. Pharazyn,pub_755
J.F. Watson's Lithography,pub_756
"Herline & Hensel, Lithographers",pub_757
Lithography of P.S. Duval & Son,pub_758
F. Bourquin & Company Lithography,pub_759
Hayes & Zell,pub_760
A. Easton's Lithography,pub_761
J. Marsh,pub_762
E. Ketterlinus,pub_763
Lithography by W.H. Rease,pub_764
Wagner & McGuigan's Steam Press,pub_765
B.S. Brown,pub_766
William Boell,pub_767
J.F. Watson Lithography,pub_768
Charles Baum,pub_769
T.S. Wagner's Lithography,pub_770
Barclay & Company,pub_771
Printed by J. Haehnlen,pub_772
J.L. Magee,pub_773
Othman ibn Abdul Manan,pub_774
Jacob Paucidrapii d Burgofranco,pub_775
Printed by Johannes Marion,pub_776
Printed by Sigismund Grim,pub_777
Melchiorre Sessa,pub_778
Hylaea,pub_779
Thomas Jefferys,pub_780
Sherman & Smith,pub_781
Leopold Gast & Brother,pub_782
J. Melish,pub_783
John Arrowsmith,pub_784
W. Faden,pub_785
WPA Federal Art Project,pub_786
"Pennsylvania Art Project, WPA",pub_787
"Federal Art Project, WPA",pub_788
A. Finley,pub_789
Robert Kennedy,pub_790
T. M. Fowler & James B. Moyer,pub_791
Gentleman’s Magazine,pub_792
S. Bott,pub_793
Ruger & Stoner,pub_794
J. J. Stoner,pub_795
Parovaia tipografia preemnikov O.D. Khodushinoi,pub_796
ROSTA,pub_797
Segodnyashnii Lubok,pub_798
RSFSR. State Publishing House,pub_799
Vilner ferlag fun B.A. Kletskin,pub_800
"Department of Education, St. Petersburg",pub_801
Rome Brothers,pub_802
Phillips & Taylor,pub_803
Shaikh Abdul Karim,pub_804
Mansoor Press,pub_805
Meera Meer Books,pub_806
Army Press,pub_807
Islamia Steem Press,pub_808
Rangeen Press,pub_809
Munshi Nool Kashor,pub_810
Dilgudaz Press,pub_811
Mujtabai Press,pub_812
Gulshan Faiz,pub_813
Delhi Printing Works,pub_814
Punjab Government Press,pub_815
Munshi Nol Kashor,pub_816
Parkash Steem Press,pub_817
Shudetang,pub_818
Zhou Yuejiao,pub_819
Yang Junlin at Sizhiguan,pub_820
Li Yongzhong,pub_821
Zhang Cunhui,pub_822
Wangzaoxuan,pub_823
Guo Xian'en,pub_824
Chen Zhi,pub_825
